date,prime
1970-01,8.50
1970-02,8.50
1970-03,8.39
1970-04,8.00
1970-05,8.00
1970-06,8.00
1970-07,8.00
1970-08,8.00
1970-09,7.83
1970-10,7.50
1970-11,7.28
1970-12,6.92
1971-01,6.29
1971-02,5.88
1971-03,5.44
1971-04,5.28
1971-05,5.46
1971-06,5.50
1971-07,5.91
1971-08,6.00
1971-09,6.00
1971-10,5.90
1971-11,5.53
1971-12,5.49
1972-01,5.18
1972-02,4.75
1972-03,4.75
1972-04,4.97
1972-05,5.00
1972-06,5.04
1972-07,5.25
1972-08,5.27
1972-09,5.50
1972-10,5.73
1972-11,5.75
1972-12,5.79
1973-01,6.00
1973-02,6.02
1973-03,6.30
1973-04,6.61
1973-05,7.01
1973-06,7.49
1973-07,8.30
1973-08,9.23
1973-09,9.86
1973-10,9.94
1973-11,9.75
1973-12,9.75
1974-01,9.73
1974-02,9.21
1974-03,8.85
1974-04,10.02
1974-05,11.25
1974-06,11.54
1974-07,11.97
1974-08,12.00
1974-09,12.00
1974-10,11.68
1974-11,10.83
1974-12,10.50
1975-01,10.05
1975-02,8.96
1975-03,7.93
1975-04,7.50
1975-05,7.40
1975-06,7.07
1975-07,7.15
1975-08,7.66
1975-09,7.88
1975-10,7.96
1975-11,7.53
1975-12,7.26
1976-01,7.00
1976-02,6.75
1976-03,6.75
1976-04,6.75
1976-05,6.75
1976-06,7.20
1976-07,7.25
1976-08,7.01
1976-09,7.00
1976-10,6.77
1976-11,6.50
1976-12,6.35
1977-01,6.25
1977-02,6.25
1977-03,6.25
1977-04,6.25
1977-05,6.41
1977-06,6.75
1977-07,6.75
1977-08,6.83
1977-09,7.13
1977-10,7.52
1977-11,7.75
1977-12,7.75
1978-01,7.93
1978-02,8.00
1978-03,8.00
1978-04,8.00
1978-05,8.27
1978-06,8.63
1978-07,9.00
1978-08,9.01
1978-09,9.41
1978-10,9.94
1978-11,10.94
1978-12,11.55
1979-01,11.75
1979-02,11.75
1979-03,11.75
1979-04,11.75
1979-05,11.75
1979-06,11.65
1979-07,11.54
1979-08,11.91
1979-09,12.90
1979-10,14.39
1979-11,15.55
1979-12,15.30
1980-01,15.25
1980-02,15.63
1980-03,18.31
1980-04,19.77
1980-05,16.57
1980-06,12.63
1980-07,11.48
1980-08,11.12
1980-09,12.23
1980-10,13.79
1980-11,16.06
1980-12,20.35
1981-01,20.16
1981-02,19.43
1981-03,18.05
1981-04,17.15
1981-05,19.61
1981-06,20.03
1981-07,20.39
1981-08,20.50
1981-09,20.08
1981-10,18.45
1981-11,16.84
1981-12,15.75
1982-01,15.75
1982-02,16.56
1982-03,16.50
1982-04,16.50
1982-05,16.50
1982-06,16.50
1982-07,16.26
1982-08,14.39
1982-09,13.50
1982-10,12.52
1982-11,11.85
1982-12,11.50
1983-01,11.16
1983-02,10.98
1983-03,10.50
1983-04,10.50
1983-05,10.50
1983-06,10.50
1983-07,10.50
1983-08,10.89
1983-09,11.00
1983-10,11.00
1983-11,11.00
1983-12,11.00
1984-01,11.00
1984-02,11.00
1984-03,11.21
1984-04,11.93
1984-05,12.39
1984-06,12.60
1984-07,13.00
1984-08,13.00
1984-09,12.97
1984-10,12.58
1984-11,11.77
1984-12,11.06
1985-01,10.61
1985-02,10.50
1985-03,10.50
1985-04,10.50
1985-05,10.31
1985-06,9.78
1985-07,9.50
1985-08,9.50
1985-09,9.50
1985-10,9.50
1985-11,9.50
1985-12,9.50
1986-01,9.50
1986-02,9.50
1986-03,9.10
1986-04,8.83
1986-05,8.50
1986-06,8.50
1986-07,8.16
1986-08,7.90
1986-09,7.50
1986-10,7.50
1986-11,7.50
1986-12,7.50
1987-01,7.50
1987-02,7.50
1987-03,7.50
1987-04,7.75
1987-05,8.14
1987-06,8.25
1987-07,8.25
1987-08,8.25
1987-09,8.70
1987-10,9.07
1987-11,8.78
1987-12,8.75
1988-01,8.75
1988-02,8.51
1988-03,8.50
1988-04,8.50
1988-05,8.84
1988-06,9.00
1988-07,9.29
1988-08,9.84
1988-09,10.00
1988-10,10.00
1988-11,10.05
1988-12,10.50
1989-01,10.50
1989-02,10.93
1989-03,11.50
1989-04,11.50
1989-05,11.50
1989-06,11.07
1989-07,10.98
1989-08,10.50
1989-09,10.50
1989-10,10.50
1989-11,10.50
1989-12,10.50
1990-01,10.11
1990-02,10.00
1990-03,10.00
1990-04,10.00
1990-05,10.00
1990-06,10.00
1990-07,10.00
1990-08,10.00
1990-09,10.00
1990-10,10.00
1990-11,10.00
1990-12,10.00
1991-01,9.52
1991-02,9.05
1991-03,9.00
1991-04,9.00
1991-05,8.50
1991-06,8.50
1991-07,8.50
1991-08,8.50
1991-09,8.20
1991-10,8.00
1991-11,7.58
1991-12,7.21
1992-01,6.50
1992-02,6.50
1992-03,6.50
1992-04,6.50
1992-05,6.50
1992-06,6.50
1992-07,6.02
1992-08,6.00
1992-09,6.00
1992-10,6.00
1992-11,6.00
1992-12,6.00
1993-01,6.00
1993-02,6.00
1993-03,6.00
1993-04,6.00
1993-05,6.00
1993-06,6.00
1993-07,6.00
1993-08,6.00
1993-09,6.00
1993-10,6.00
1993-11,6.00
1993-12,6.00
1994-01,6.00
1994-02,6.00
1994-03,6.06
1994-04,6.45
1994-05,6.99
1994-06,7.25
1994-07,7.25
1994-08,7.51
1994-09,7.75
1994-10,7.75
1994-11,8.15
1994-12,8.50
1995-01,8.50
1995-02,9.00
1995-03,9.00
1995-04,9.00
1995-05,9.00
1995-06,9.00
1995-07,8.80
1995-08,8.75
1995-09,8.75
1995-10,8.75
1995-11,8.75
1995-12,8.65
1996-01,8.50
1996-02,8.25
1996-03,8.25
1996-04,8.25
1996-05,8.25
1996-06,8.25
1996-07,8.25
1996-08,8.25
1996-09,8.25
1996-10,8.25
1996-11,8.25
1996-12,8.25
1997-01,8.25
1997-02,8.25
1997-03,8.30
1997-04,8.50
1997-05,8.50
1997-06,8.50
1997-07,8.50
1997-08,8.50
1997-09,8.50
1997-10,8.50
1997-11,8.50
1997-12,8.50
1998-01,8.50
1998-02,8.50
1998-03,8.50
1998-04,8.50
1998-05,8.50
1998-06,8.50
1998-07,8.50
1998-08,8.50
1998-09,8.49
1998-10,8.12
1998-11,7.89
1998-12,7.75
1999-01,7.75
1999-02,7.75
1999-03,7.75
1999-04,7.75
1999-05,7.75
1999-06,7.75
1999-07,8.00
1999-08,8.06
1999-09,8.25
1999-10,8.25
1999-11,8.37
1999-12,8.50
2000-01,8.50
2000-02,8.73
2000-03,8.83
2000-04,9.00
2000-05,9.24
2000-06,9.50
2000-07,9.50
2000-08,9.50
2000-09,9.50
2000-10,9.50
2000-11,9.50
2000-12,9.50
2001-01,9.05
2001-02,8.50
2001-03,8.32
2001-04,7.80
2001-05,7.24
2001-06,6.98
2001-07,6.75
2001-08,6.67
2001-09,6.28
2001-10,5.53
2001-11,5.10
2001-12,4.84
2002-01,4.75
2002-02,4.75
2002-03,4.75
2002-04,4.75
2002-05,4.75
2002-06,4.75
2002-07,4.75
2002-08,4.75
2002-09,4.75
2002-10,4.75
2002-11,4.35
2002-12,4.25
2003-01,4.25
2003-02,4.25
2003-03,4.25
2003-04,4.25
2003-05,4.25
2003-06,4.22
2003-07,4.00
2003-08,4.00
2003-09,4.00
2003-10,4.00
2003-11,4.00
2003-12,4.00
2004-01,4.00
2004-02,4.00
2004-03,4.00
2004-04,4.00
2004-05,4.00
2004-06,4.01
2004-07,4.25
2004-08,4.43
2004-09,4.58
2004-10,4.75
2004-11,4.93
2004-12,5.15
2005-01,5.25
2005-02,5.49
2005-03,5.58
2005-04,5.75
2005-05,5.98
2005-06,6.01
2005-07,6.25
2005-08,6.44
2005-09,6.59
2005-10,6.75
2005-11,7.00
2005-12,7.15
2006-01,7.26
2006-02,7.50
2006-03,7.53
2006-04,7.75
2006-05,7.93
2006-06,8.02
2006-07,8.25
2006-08,8.25
2006-09,8.25
2006-10,8.25
2006-11,8.25
2006-12,8.25
2007-01,8.25
2007-02,8.25
2007-03,8.25
2007-04,8.25
2007-05,8.25
2007-06,8.25
2007-07,8.25
2007-08,8.25
2007-09,8.03
2007-10,7.74
2007-11,7.50
2007-12,7.33
2008-01,6.98
2008-02,6.00
2008-03,5.66
2008-04,5.24
2008-05,5.00
2008-06,5.00
2008-07,5.00
2008-08,5.00
2008-09,5.00
2008-10,4.56
2008-11,4.00
2008-12,3.61
2009-01,3.25
2009-02,3.25
2009-03,3.25
2009-04,3.25
2009-05,3.25
2009-06,3.25
2009-07,3.25
2009-08,3.25
2009-09,3.25
2009-10,3.25
2009-11,3.25
2009-12,3.25
2010-01,3.25
2010-02,3.25
2010-03,3.25
2010-04,3.25
2010-05,3.25
2010-06,3.25
2010-07,3.25
2010-08,3.25
2010-09,3.25
2010-10,3.25
2010-11,3.25
2010-12,3.25
2011-01,3.25
2011-02,3.25